Neueinstiege 2026-09-09 — Fenster 2026-09-07 bis 2026-09-09 (3 Handelstage), Kohorte 50 Trader, Schwelle N>=5, Mindestgewicht 0.1 %
Echte Neueinstiege im Universum: 20 in 20 Instrumenten von 8 Tradern (davon ausgeschlossen als Bestand vor Kohorteneintritt: 0)

Kein Kaufsignal (Maximum N=1).

Instrument                               N  Trader (Einstieg, Gewicht)
Travelers                                1  CPHequities (08.09. 4.8%)
Welltower Inc                            1  CPHequities (08.09. 4.8%)
Argenx SE-ADR                            1  CPHequities (08.09. 2.8%)
Zeta Global Holdings Corp                1  Smudliczek (08.09. 1.8%)
Yalla Group Limited                      1  FundManagerZech (09.09. 1.6%)
Uber Technologies Inc.                   1  celesh (08.09. 0.2%)
Lockheed Martin Corporation              1  onk342 (09.09. 0.4%)
Caterpillar                              1  TheDividendFund (08.09. 1.2%)
Taiwan Semiconductor Manufacturing Co    1  TheDividendFund (08.09. 1.2%)
Amphenol Corporation                     1  TheDividendFund (08.09. 1.2%)
Cisco Systems Inc                        1  plessas (08.09. 0.9%)
Netflix, Inc.                            1  plessas (08.09. 0.9%)
Qualcomm Inc                             1  plessas (08.09. 0.5%)
Vistra Corp                              1  plessas (08.09. 0.9%)
Advanced Micro Devices Inc               1  plessas (08.09. 0.9%)

JSON: data/reports/2026-09-09-entries.json
