Neueinstiege 2026-09-10 — Fenster 2026-09-08 bis 2026-09-10 (3 Handelstage), Kohorte 50 Trader, Schwelle N>=5, Mindestgewicht 0.1 %
Echte Neueinstiege im Universum: 22 in 22 Instrumenten von 9 Tradern

Kein Kaufsignal (Maximum N=1).

Instrument                               N  Trader (Einstieg, Gewicht)
Welltower Inc                            1  CPHequities (08.09. 4.8%)
Travelers                                1  CPHequities (08.09. 4.8%)
Argenx SE-ADR                            1  CPHequities (08.09. 2.8%)
Zeta Global Holdings Corp                1  Smudliczek (08.09. 1.8%)
Yalla Group Limited                      1  FundManagerZech (09.09. 1.6%)
Uber Technologies Inc.                   1  celesh (08.09. 0.4%)
Lockheed Martin Corporation              1  onk342 (09.09. 0.4%)
Taiwan Semiconductor Manufacturing Co    1  TheDividendFund (08.09. 1.2%)
Caterpillar                              1  TheDividendFund (08.09. 1.2%)
Amphenol Corporation                     1  TheDividendFund (08.09. 1.2%)
Qualcomm Inc                             1  plessas (08.09. 0.5%)
Netflix, Inc.                            1  plessas (08.09. 0.9%)
Vistra Corp                              1  plessas (08.09. 0.9%)
Bristol-Myers Squibb Co                  1  plessas (10.09. 0.8%)
Ituran Location and Control Ltd          1  plessas (09.09. 0.5%)

JSON: data/reports/2026-09-10-entries.json
